Food Item,Quantity,Calories (kcal),Protein (g),Carbohydrates(g),Fats (g),Breakfast,Lunch,Dinner,veg/nonveg
Mango Pickle,1.0,25.0,0.3,6.0,0.2,0.0,1.0,1.0,1.0
Tamarind Rice,1.0,400.0,7.0,80.0,8.0,0.0,1.0,1.0,1.0
Curd Rice,1.0,180.0,3.0,30.0,5.0,0.0,1.0,1.0,1.0
Kesar Pista Kulfi,1.0,225.0,6.5,22.5,12.5,0.0,0.0,1.0,1.0
Baingan Bharta,1.0,175.0,5.0,17.5,12.5,0.0,1.0,1.0,1.0
Dhokla,2.0,175.0,7.0,22.5,6.5,1.0,0.0,0.0,1.0
Aloo Gobi,1.0,175.0,5.0,17.5,11.0,0.0,1.0,1.0,1.0
Kofta Curry,1.0,275.0,12.5,22.5,17.5,0.0,1.0,1.0,1.0
Paneer Bhurji,1.0,225.0,12.5,12.5,17.5,1.0,1.0,1.0,1.0
Besan Chilla,2.0,175.0,9.0,22.5,6.5,1.0,0.0,0.0,1.0
Sabudana Khichdi,1.0,225.0,3.0,45.0,12.5,1.0,0.0,0.0,1.0
Methi Thepla,2.0,175.0,6.5,22.5,6.5,1.0,0.0,0.0,1.0
Kadhi Pakora,1.0,225.0,7.0,22.5,12.5,0.0,1.0,1.0,1.0
Aloo Methi,1.0,175.0,4.0,17.5,11.0,0.0,1.0,1.0,1.0
Rajma,1.0,225.0,9.0,32.5,6.5,0.0,1.0,1.0,1.0
Bhindi Fry,1.0,175.0,4.0,12.5,11.0,0.0,1.0,1.0,1.0
Methi Paratha,1.0,175.0,5.0,22.5,6.5,1.0,0.0,0.0,1.0
Moong Dal Halwa,1.0,325.0,11.0,45.0,12.5,0.0,0.0,1.0,1.0
Chana Masala,1.0,225.0,12.5,32.5,6.5,0.0,1.0,1.0,1.0
Gatte ki Sabzi,1.0,225.0,7.0,22.5,11.0,0.0,1.0,1.0,1.0
Rajasthani Kadi,1.0,175.0,7.0,17.5,9.0,0.0,1.0,1.0,1.0
Sooji Halwa,1.0,325.0,6.5,55.0,12.5,1.0,0.0,0.0,1.0
Bisi Bele Bath,1.0,225.0,7.0,45.0,6.5,1.0,1.0,0.0,1.0
Mysore Bonda,2.0,225.0,6.5,22.5,12.5,1.0,0.0,0.0,1.0
Veg Hakka Noodles,1.0,325.0,8.5,55.0,12.5,0.0,1.0,1.0,1.0
Paneer Paratha,1.0,225.0,9.0,32.5,9.0,1.0,1.0,0.0,1.0
Dal Tadka,1.0,225.0,9.0,27.5,6.5,0.0,1.0,1.0,1.0
Dum Aloo,1.0,225.0,5.0,22.5,12.5,0.0,1.0,1.0,1.0
Palak Khichdi,1.0,225.0,7.0,45.0,6.5,1.0,1.0,1.0,1.0
Nariyal Chutney,2.0,60.0,0.75,3.0,5.0,1.0,1.0,1.0,1.0
Vermicelli Upma,1.0,175.0,5.0,27.5,6.5,1.0,0.0,0.0,1.0
Methi Muthia,2.0,175.0,5.0,22.5,6.5,1.0,0.0,0.0,1.0
Khakra,2.0,125.0,3.0,22.5,3.0,1.0,0.0,0.0,1.0
Chana Sundal,1.0,175.0,7.0,22.5,6.5,1.0,0.0,0.0,1.0
Cabbage Sabzi,1.0,125.0,4.0,12.5,6.5,0.0,1.0,1.0,1.0
Patra,2.0,175.0,5.0,22.5,6.5,1.0,0.0,0.0,1.0
Bhutte ka Kees,1.0,175.0,5.0,22.5,6.5,1.0,0.0,0.0,1.0
Aloo Bhindi,1.0,175.0,4.0,17.5,11.0,0.0,1.0,1.0,1.0
Lauki Kofta,1.0,225.0,7.0,22.5,11.0,0.0,1.0,1.0,1.0
Dal Baati,1.0,225.0,7.0,27.5,11.0,0.0,1.0,1.0,1.0
Puran Poli,1.0,225.0,7.0,32.5,6.5,1.0,1.0,0.0,1.0
Sarson ka Saag,1.0,175.0,5.0,12.5,11.0,0.0,1.0,1.0,1.0
Makki di Roti,1.0,175.0,4.0,22.5,6.5,1.0,1.0,0.0,1.0
Nargisi Kofta,1.0,275.0,12.5,22.5,17.5,0.0,1.0,1.0,1.0
Pesarattu Upma,1.0,175.0,7.0,27.5,6.5,1.0,0.0,0.0,1.0
Chilli Paneer,1.0,225.0,12.5,17.5,12.5,0.0,1.0,1.0,1.0
Sindhi Kadhi,1.0,175.0,5.0,17.5,9.0,0.0,1.0,1.0,1.0
Shahi Paneer,1.0,325.0,12.5,22.5,22.5,0.0,1.0,1.0,1.0
Aloo Posto,1.0,225.0,6.5,22.5,12.5,0.0,1.0,1.0,1.0
Misal Pav,1.0,325.0,12.5,45.0,12.5,1.0,0.0,0.0,1.0
Kothimbir Vadi,2.0,175.0,6.5,22.5,6.5,1.0,0.0,0.0,1.0
Dabeli,1.0,275.0,7.0,45.0,12.5,1.0,0.0,0.0,1.0
Patra Ni Machhi,1.0,225.0,17.5,6.5,12.5,0.0,1.0,1.0,1.0
Veg Kolhapuri,1.0,225.0,7.0,17.5,12.5,0.0,1.0,1.0,1.0
Kaju Katli,2.0,175.0,4.0,17.5,9.0,0.0,0.0,1.0,1.0
Kharvas,1.0,125.0,6.5,12.5,6.5,0.0,0.0,1.0,1.0
Sheera,1.0,225.0,5.0,32.5,9.0,1.0,0.0,0.0,1.0
Pineapple Sheera,1.0,225.0,5.0,32.5,9.0,1.0,0.0,0.0,1.0
Kesari Bhaat,1.0,225.0,5.0,42.5,6.5,1.0,0.0,0.0,1.0
Kharbooja Halwa,1.0,275.0,5.0,45.0,11.0,0.0,0.0,1.0,1.0
Meetha Daliya,1.0,175.0,5.0,27.5,6.5,1.0,0.0,0.0,1.0
Lauki Halwa,1.0,225.0,6.5,32.5,6.5,0.0,0.0,1.0,1.0
Jowar Roti,2.0,225.0,7.0,32.5,5.0,0.0,1.0,1.0,1.0
Barley Khichdi,1.0,225.0,7.0,42.5,6.5,1.0,1.0,1.0,1.0
Gehun Ki Bikaneri Khichdi,1.0,225.0,7.0,42.5,6.5,1.0,1.0,1.0,1.0
Bajra Khichdi,1.0,225.0,7.0,42.5,6.5,1.0,1.0,1.0,1.0
Chawal Ki Kheer,1.0,225.0,7.0,42.5,6.5,0.0,0.0,1.0,1.0
Sabudana Kheer,1.0,225.0,5.0,32.5,6.5,1.0,0.0,0.0,1.0
Makhana Kheer,1.0,225.0,6.5,27.5,9.0,0.0,0.0,1.0,1.0
Panchamrut,1.0,225.0,6.5,22.5,11.0,0.0,1.0,1.0,1.0
Aloo Jeera,1.0,175.0,4.0,17.5,11.0,0.0,1.0,1.0,1.0
Lauki Chana Dal,1.0,225.0,9.0,27.5,6.5,0.0,1.0,1.0,1.0
Chana Dal Halwa,1.0,325.0,11.0,45.0,12.5,0.0,0.0,1.0,1.0
Ginger Tea,1.0,60.0,0.75,11.0,0.75,1.0,0.0,0.0,1.0
Tulsi Tea,1.0,60.0,0.75,11.0,0.75,1.0,0.0,0.0,1.0
Masala Oats,1.0,175.0,5.0,27.5,6.5,1.0,0.0,0.0,1.0
Rajma Galouti Kebab,1.0,175.0,6.5,22.5,6.5,1.0,1.0,0.0,1.0
Sprouts Salad,1.0,125.0,7.0,17.5,3.0,1.0,1.0,1.0,1.0
Dahi Bhalla,1.0,225.0,7.0,22.5,9.0,1.0,0.0,0.0,1.0
Moong Dal Cheela,2.0,175.0,9.0,22.5,6.5,1.0,0.0,0.0,1.0
Aloo Tikki Chaat,1.0,275.0,7.0,32.5,12.5,1.0,0.0,0.0,1.0
Batata Vada,2.0,225.0,5.0,32.5,12.5,1.0,0.0,0.0,1.0
Sev Puri,1.0,225.0,5.0,27.5,11.0,1.0,0.0,0.0,1.0
Chole Kulche,1.0,325.0,11.0,45.0,12.5,1.0,0.0,0.0,1.0
Ragda Pattice,1.0,325.0,9.0,45.0,12.5,1.0,0.0,0.0,1.0
Veg Frankie,1.0,275.0,7.0,45.0,11.0,1.0,0.0,0.0,1.0
Baida Roti,1.0,225.0,9.0,27.5,11.0,1.0,0.0,0.0,1.0
Mutton Rogan Josh,1.0,325.0,22.5,12.5,22.5,0.0,1.0,1.0,0.0
Shami Kebab,1.0,175.0,11.0,6.5,11.0,0.0,1.0,1.0,0.0
Nihari,1.0,325.0,22.5,12.5,22.5,0.0,1.0,1.0,0.0
Paya Soup,1.0,225.0,17.5,6.5,11.0,0.0,1.0,1.0,0.0
Chicken Rezala,1.0,325.0,22.5,12.5,22.5,0.0,1.0,1.0,0.0
Keema Paratha,1.0,275.0,17.5,27.5,12.5,1.0,1.0,0.0,0.0
Egg Bhurji,1.0,225.0,11.0,12.5,17.5,0.0,1.0,1.0,0.0
Karela Sabzi,1.0,125.0,6.5,12.5,6.5,0.0,1.0,1.0,1.0
Kaddu Ki Sabzi,1.0,125.0,4.0,17.5,6.5,0.0,1.0,1.0,1.0
Sarson Ka Saag,1.0,175.0,7.0,12.5,11.0,0.0,1.0,1.0,1.0
Makki Ki Roti,2.0,225.0,7.0,32.5,6.5,0.0,1.0,1.0,1.0
Gatte Ki Sabzi,1.0,225.0,7.0,22.5,11.0,0.0,1.0,1.0,1.0
Dahi Ke Kebab,2.0,225.0,9.0,17.5,11.0,1.0,0.0,0.0,0.0
Bharwa Baingan,1.0,175.0,6.5,12.5,11.0,0.0,1.0,1.0,1.0
Palak Poori,2.0,225.0,6.5,27.5,11.0,1.0,0.0,0.0,1.0
Mathri,2.0,175.0,4.0,22.5,9.0,1.0,0.0,0.0,1.0
Namak Pare,10.0,175.0,4.0,22.5,9.0,1.0,0.0,0.0,1.0
Chakli,2.0,225.0,7.0,22.5,11.0,1.0,0.0,0.0,1.0
Methi Malai Paneer,1.0,325.0,11.0,12.5,22.5,0.0,1.0,1.0,1.0
Mushroom Matar,1.0,175.0,6.5,12.5,11.0,0.0,1.0,1.0,1.0
Corn Pakoda,4.0,225.0,7.0,22.5,11.0,1.0,0.0,0.0,1.0
Paneer Pakoda,2.0,225.0,11.0,17.5,11.0,1.0,0.0,0.0,1.0
Banana Chips,1.0,175.0,2.5,22.5,9.0,1.0,0.0,0.0,1.0
Rajma Kebabs,2.0,225.0,9.0,22.5,11.0,1.0,0.0,0.0,1.0
Chickpea Sundal,1.0,175.0,9.0,22.5,6.5,1.0,0.0,0.0,0.0
Neer Dosa,2.0,175.0,4.0,22.5,6.5,1.0,0.0,0.0,1.0
Sabudana Thalipeeth,2.0,225.0,5.0,32.5,9.0,1.0,0.0,0.0,1.0
Jowar Upma,1.0,175.0,5.0,32.5,6.5,1.0,0.0,0.0,1.0
Green Pea Upma,1.0,175.0,5.0,32.5,6.5,1.0,0.0,0.0,1.0
Achari Paneer,1.0,225.0,11.0,12.5,17.5,0.0,1.0,1.0,1.0
Murgh Musallam,1.0,325.0,22.5,12.5,22.5,0.0,1.0,1.0,0.0
Mutton Kheema,1.0,325.0,22.5,12.5,22.5,0.0,1.0,1.0,0.0
Methi Murg,1.0,275.0,17.5,12.5,17.5,0.0,1.0,1.0,0.0
Baida Paratha,1.0,225.0,11.0,27.5,11.0,1.0,1.0,0.0,1.0
Masala Khichdi,1.0,225.0,7.0,37.5,6.5,1.0,1.0,1.0,1.0
Keema Pav,1.0,325.0,22.5,32.5,17.5,0.0,1.0,1.0,0.0
Papdi Chaat,1.0,275.0,7.0,32.5,11.0,1.0,0.0,0.0,1.0
Palak Pakoda,4.0,225.0,7.0,22.5,11.0,1.0,0.0,0.0,1.0
Aloo Chaat,1.0,225.0,5.0,32.5,9.0,1.0,0.0,0.0,1.0
Sooji Toast,2.0,175.0,6.5,22.5,6.5,1.0,0.0,0.0,1.0
Rava Idli,2.0,175.0,7.0,22.5,6.5,1.0,0.0,0.0,1.0
Kuttu Ke Pakode,4.0,225.0,7.0,22.5,11.0,1.0,0.0,0.0,1.0
Tamatar Kadhi,1.0,175.0,6.5,22.5,9.0,1.0,0.0,0.0,1.0
Kaddu Ka Halwa,1.0,225.0,6.5,32.5,9.0,0.0,0.0,1.0,1.0
Nariyal Barfi,2.0,175.0,4.0,22.5,9.0,0.0,0.0,1.0,1.0
Aam Ras,1.0,175.0,2.5,32.5,6.5,0.0,1.0,1.0,1.0
Sprout Salad,1.0,175.0,2.0,18.0,5.0,1.0,1.0,0.0,1.0
Chana Chaat,1.0,225.0,7.0,38.0,6.0,0.0,1.0,0.0,1.0
Quinoa Salad,1.0,225.0,7.0,32.0,8.0,1.0,1.0,0.0,1.0
Vegetable Soup,1.0,125.0,4.0,15.0,3.0,0.0,1.0,1.0,1.0
Beetroot Salad,1.0,125.0,2.0,10.0,0.0,0.0,1.0,0.0,1.0
Carrot-Apple Salad,1.0,175.0,1.0,14.0,0.0,1.0,0.0,0.0,1.0
Mixed Veg Raita,1.0,125.0,6.0,9.0,8.0,1.0,1.0,1.0,1.0
Moong Dal Chilla,2.0,175.0,8.0,18.0,3.0,1.0,0.0,0.0,1.0
Spinach Bhaji,1.0,175.0,5.0,9.0,6.0,0.0,1.0,1.0,1.0
Lauki Sabzi,1.0,125.0,3.0,9.0,6.0,0.0,1.0,1.0,1.0
Kala Chana,1.0,225.0,9.0,27.0,3.0,0.0,1.0,1.0,1.0
Aloo Matar,1.0,225.0,6.0,24.0,6.0,0.0,1.0,1.0,1.0
Tinda Sabzi,1.0,125.0,2.0,7.0,6.0,0.0,1.0,1.0,1.0
Beetroot Sabzi,1.0,175.0,2.0,10.0,6.0,0.0,1.0,1.0,1.0
Mixed Veg Curry,1.0,225.0,3.0,12.0,8.0,0.0,1.0,1.0,1.0
Pumpkin Soup,1.0,125.0,1.0,7.0,2.0,0.0,1.0,1.0,1.0
Tofu Stir Fry,1.0,225.0,11.0,9.0,15.0,0.0,1.0,1.0,1.0
Carrot Soup,1.0,125.0,1.0,7.0,2.0,0.0,1.0,1.0,1.0
Sprouted Moong Dal Salad,1.0,175.0,6.0,20.0,2.0,1.0,1.0,0.0,1.0
Tomato Soup,1.0,125.0,2.0,10.0,2.0,0.0,1.0,1.0,1.0
Corn Salad,1.0,175.0,4.0,17.0,2.0,1.0,1.0,0.0,1.0
Radish Salad,1.0,125.0,3.0,7.0,1.0,1.0,1.0,0.0,1.0
Moong Dal Tikki,2.0,175.0,6.0,18.0,4.0,1.0,1.0,0.0,1.0
Stuffed Capsicum,2.0,225.0,5.0,12.0,7.0,0.0,1.0,1.0,1.0
Spinach Soup,1.0,125.0,3.0,9.0,2.0,0.0,1.0,1.0,1.0
Fruit Salad,1.0,175.0,1.0,20.0,0.0,1.0,0.0,0.0,1.0
Oats Upma,1.0,175.0,7.0,28.0,5.0,1.0,0.0,0.0,1.0
Cucumber Salad,1.0,125.0,1.0,8.0,0.0,1.0,1.0,0.0,1.0
Mixed Bean Salad,1.0,225.0,7.0,20.0,3.0,1.0,1.0,0.0,1.0
Masoor Dal,1.0,225.0,9.0,20.0,1.0,0.0,1.0,1.0,1.0
Sprouted Chana Salad,1.0,175.0,6.0,21.0,1.0,1.0,1.0,0.0,1.0
Sweet Potato Chaat,1.0,225.0,3.0,14.0,5.0,1.0,0.0,0.0,1.0
Masoor Usal,1.0,225.0,23.0,7.0,13.0,0.0,1.0,1.0,1.0
Hare Chane ki Chaat,1.0,175.0,18.0,5.0,13.0,1.0,0.0,0.0,1.0
Gajar Methi Subzi,1.0,175.0,23.0,7.0,7.0,0.0,1.0,1.0,1.0
Tindora Fry,1.0,125.0,28.0,9.0,4.0,0.0,1.0,1.0,1.0
Moong Dal Soup,1.0,125.0,23.0,13.0,18.0,1.0,0.0,0.0,1.0
Soybean Tikki,2.0,175.0,13.0,13.0,18.0,1.0,0.0,0.0,1.0
Ragi Mudde,2.0,225.0,23.0,9.0,7.0,1.0,1.0,0.0,1.0
Bhindi Do Pyaza,1.0,175.0,45.0,3.0,13.0,0.0,1.0,1.0,1.0
Sprouted Moong Curry,1.0,225.0,23.0,7.0,7.0,0.0,1.0,1.0,1.0
Masala Chaas,1.0,60.0,23.0,7.0,13.0,1.0,0.0,0.0,1.0
Amla Juice,1.0,70.0,18.0,4.0,11.0,1.0,0.0,0.0,1.0
Jamun Juice,1.0,80.0,33.0,9.0,7.0,1.0,0.0,0.0,1.0
Aloe Vera Juice,1.0,60.0,13.0,4.0,11.0,1.0,0.0,0.0,1.0
Kokum Sherbet,1.0,110.0,23.0,5.0,7.0,1.0,0.0,0.0,1.0
Guava Salad,1.0,125.0,28.0,14.0,9.0,1.0,0.0,0.0,1.0
Bottle Gourd Juice,1.0,90.0,23.0,8.0,7.0,1.0,0.0,0.0,1.0
Sugarcane Juice,1.0,175.0,18.0,7.0,11.0,1.0,0.0,0.0,1.0
Amaranth Stir-fry,1.0,175.0,33.0,5.0,9.0,0.0,1.0,1.0,1.0
Baingan Masala,1.0,175.0,28.0,6.0,13.0,0.0,1.0,1.0,1.0
Rajgira Puri,2.0,225.0,23.0,5.0,13.0,1.0,0.0,0.0,1.0
Bajra Roti,2.0,175.0,13.0,5.0,7.0,1.0,1.0,1.0,1.0
Green Pea Salad,1.0,125.0,45.0,4.0,13.0,1.0,0.0,0.0,1.0
Mixed Sprouts Usal,1.0,225.0,33.0,6.0,11.0,0.0,1.0,1.0,1.0
Pomegranate Raita,1.0,125.0,13.0,9.0,4.0,1.0,0.0,0.0,1.0
Beetroot Thoran,1.0,125.0,38.0,7.0,11.0,0.0,1.0,1.0,1.0
Cabbage Kootu,1.0,175.0,8.0,1.0,11.0,0.0,1.0,1.0,1.0
Vegetable Clear Soup,1.0,90.0,13.0,6.0,9.0,0.0,1.0,0.0,1.0
Masoor Dal Salad,1.0,225.0,13.0,4.0,11.0,1.0,0.0,0.0,1.0
Sprouted Moong Salad,1.0,175.0,8.0,6.0,7.0,1.0,0.0,0.0,1.0
Sprouted Moong Chilla,2.0,175.0,23.0,6.0,7.0,1.0,0.0,0.0,1.0
Mango Lassi,1.0,225.0,8.0,2.0,1.0,1.0,0.0,0.0,1.0
Strawberry Smoothie,1.0,175.0,18.0,2.0,1.0,1.0,0.0,0.0,1.0
Cucumber Raita,1.0,125.0,18.0,2.0,1.0,1.0,0.0,0.0,1.0
Dal Dhokli,1.0,275.0,7.5,27.5,12.5,0.0,1.0,1.0,1.0
Appe,4.0,175.0,6.0,27.5,6.5,1.0,0.0,0.0,1.0
Zunka Bhakri,1.0,225.0,9.0,32.5,9.0,0.0,1.0,1.0,1.0
Thecha with Bhakri,1.0,175.0,6.0,27.5,9.0,0.0,1.0,1.0,1.0
Bhakri with Methi Pithla,1.0,225.0,9.0,22.5,11.0,0.0,1.0,1.0,1.0
Aliv Ladoo,2.0,225.0,5.5,27.5,11.0,0.0,0.0,1.0,1.0
Sol Kadhi,1.0,60.0,1.5,6.5,3.0,1.0,0.0,0.0,1.0
Pithla Bhakri,1.0,275.0,9.0,32.5,6.5,0.0,1.0,1.0,1.0
Bharli Vangi,1.0,175.0,5.5,12.5,3.0,0.0,1.0,1.0,1.0
Vaangi Bhaat,1.0,275.0,6.0,32.5,6.5,0.0,1.0,1.0,1.0
Thalipeeth,2.0,225.0,5.5,27.5,6.5,1.0,0.0,0.0,1.0
Patodi Rassa,1.0,225.0,5.5,27.5,6.5,0.0,1.0,1.0,1.0
Amboli,2.0,175.0,6.0,17.5,6.5,1.0,0.0,0.0,1.0
Tomato Saar,1.0,90.0,1.5,12.5,5.5,0.0,1.0,1.0,1.0
Shev Bhaji,1.0,225.0,8.5,15.0,4.0,0.0,1.0,1.0,1.0
Batata Bhaji,1.0,175.0,5.0,27.5,6.5,0.0,1.0,1.0,1.0
Sukka Mutton,1.0,275.0,10.0,35.0,12.5,0.0,1.0,1.0,0.0
Kadhi Khichdi,1.0,225.0,4.5,32.5,6.5,0.0,1.0,1.0,1.0
Undhiyu,1.0,225.0,3.5,32.5,6.5,0.0,1.0,1.0,1.0
Handvo,2.0,175.0,12.0,27.5,9.0,1.0,0.0,0.0,1.0
Ghavan,2.0,175.0,7.5,32.5,9.0,1.0,0.0,0.0,1.0
Green Pea Thepla,2.0,175.0,6.0,37.5,9.0,1.0,0.0,0.0,1.0
Lapsi,1.0,175.0,7.0,37.5,9.0,1.0,0.0,0.0,1.0
Chana Dal Pancakes,2.0,225.0,7.5,32.5,9.0,1.0,0.0,0.0,1.0
Palak Moong Dal,1.0,175.0,7.5,32.5,9.0,0.0,1.0,1.0,1.0
Corn Kheer,1.0,225.0,7.0,27.5,9.0,0.0,0.0,1.0,1.0
Varan Bhaat,1.0,275.0,6.0,32.5,9.0,0.0,1.0,1.0,1.0
Amaranth Roti,2.0,175.0,5.0,32.5,9.0,1.0,1.0,1.0,1.0
